ArraySize,Case,ExecutionTime(ns)
1000,BestCase,3570500
1000,AverageCase,190200
1000,WorstCase,3106500
1000,AlmostSorted,54700
2000,BestCase,1272199
2000,AverageCase,88401
2000,WorstCase,926401
2000,AlmostSorted,70301
3000,BestCase,3519600
3000,AverageCase,182100
3000,WorstCase,2996800
3000,AlmostSorted,163900
4000,BestCase,8238801
4000,AverageCase,281399
4000,WorstCase,3949300
4000,AlmostSorted,138500
5000,BestCase,9623200
5000,AverageCase,295700
5000,WorstCase,6579000
5000,AlmostSorted,238300
6000,BestCase,17537500
6000,AverageCase,322301
6000,WorstCase,11152200
6000,AlmostSorted,316999
7000,BestCase,24732800
7000,AverageCase,364700
7000,WorstCase,17796800
7000,AlmostSorted,521800
8000,BestCase,31166399
8000,AverageCase,758700
8000,WorstCase,31346100
8000,AlmostSorted,454501
9000,BestCase,98831000
9000,AverageCase,601699
9000,WorstCase,34750700
9000,AlmostSorted,489400
10000,BestCase,51204199
10000,AverageCase,573901
10000,WorstCase,26347000
10000,AlmostSorted,526200
